"","depth_class","Ecosystem_type","AI","MAP","MAT","PS_Bio15","TS_Bio4","TAR_Bio7","MaxTWM_Bio5","MinTCM_Bio6","MMTD_Bio2","PWM_Bio13","PDM_Bio14","Elevation","Slope","Mean_pH","Moisture","TC","CEC","Bulk.Density","RootDepth","GPP","Sand.content","Clay.content","Silt.content","Bedrock","Shannon_EVI","LAI","AbovegroundBiomass","BelowgroundBiomass","depth_mid","length","degree","CUE"
"285","0-30","Forest",0.6541,532,-3.17500019073486,105.523849487305,1571.11499023438,56.3000030517578,23.6000003814697,-32.7000007629395,14.6666669845581,141,4,681.125,8.31203746795654,5.36566666666667,78.6545924967658,0,0.334049992533401,0.2319,0.183108270168304,0,36.5,19,45,1041,26171,3.8643000125885,35.5,17.7,12.5,0.676379520322238,54.3802710942976,0.278957834681334
"286","0-30","Forest",0.5769,509,-1.55833327770233,111.232704162598,1541.46606445312,55.5999984741211,24.6000003814697,-31,14.6833333969116,144,3,499.3125,2.81745934486389,6.15366666666667,25.9303721488595,0,0.235949994726107,0.3332,1.11390864849091,0,33,19,48,857,26612,3.62430000305176,11.6,9.9,12.5,0.669725180555603,51.3402502577896,0.314174905766898
"287","0-30","Forest",0.6258,529,-2.73749995231628,112.632331848145,1523.45471191406,55.5,23.3999996185303,-32.0999984741211,15.1416664123535,153,3,740.6875,5.90419912338257,5.498,16.8780335055582,0,0.235949994726107,0.6387,1.00709545612335,0,36.5,19,44.5,1089,25052,4.06440019607544,25.7,13.9,12.5,0.753906813306993,48.6752034536935,0.294112930008374
"288","0-30","Forest",0.5759,515,-1.59166657924652,110.40690612793,1578.12585449219,56.6999969482422,24.7999992370605,-31.8999996185303,14.9166660308838,146,4,496.0625,5.30099010467529,6.21566666666667,52.9530880863989,0,0.235949994726107,0.2963,1.05287253856659,0,33,19,48,638,24081,2.91149997711182,2.7,7.2,12.5,0.820073009693468,48.8457930896825,0.279921482084005
"289","0-30","Forest",0.6093,520,-2.52083349227905,113.722663879395,1535.97241210938,56,23.7999992370605,-32.2000007629395,15.2249994277954,151,3,679.9375,8.32683086395264,4.90666666666667,47.4716828478964,0,0.235949994726107,0.4944,1.00709545612335,0,36.5,19,44.5,1089,25052,4.06440019607544,44,19.5,12.5,0.620592121985677,50.5540246606632,0.336332977948967
"290","0-30","Forest",0.6,513,-2.41250014305115,114.074089050293,1522.12634277344,55.5,23.7999992370605,-31.7000007629395,15.0749998092651,149,3,668.9375,4.69561290740967,5.37133333333333,23.6091298145507,0,0.235949994726107,0.701,0.167849242687225,0,36.5,19,44.5,1235,28156,4.11740016937256,14.7,11.3,12.5,0.783626835014479,49.872672686043,0.306510911359582
"291","0-30","Forest",0.5432,505,-0.670833349227905,118.370933532715,1498.22241210938,54.6999969482422,24.8999996185303,-29.7999992370605,14.875,154,3,482.9375,4.44391059875488,5.052,53.9340826824157,0,0.271899993922561,0.5249,0.183108270168304,0,24,24.5,51,1400,25143,3.50869989395142,26.2,14.8,12.5,0.927530868006413,49.4496905350586,0.26287238698135
"292","0-30","Forest",0.5254,508,-0.300000011920929,118.155540466309,1541.82446289062,56,25.5,-30.5,15,156,2,432,3.22934126853943,6.35,27.0279844137442,0,0.254999994300306,0.2823,0.183108270168304,0,38,17.5,44,2750,28124,4.03310012817383,12.7,5.2,12.5,0.78602807252604,48.9943851285408,0.303388650803323
"293","0-30","Forest",0.6606,599,-0.316666662693024,97.4881210327148,1600.93774414062,56.3000030517578,25.6000003814697,-30.7000007629395,12.9833335876465,145,6,411.375,1.51216447353363,5.005,30.9508408796895,1.44,0.266599994041026,0.3092,0.747692048549652,0,41.5,16.5,42,788,22691,3.82010006904602,25.4,13.6,12.5,0.556983121135966,48.4209823966802,0.428731748303945
"294","0-30","Forest",0.7204,634,-0.974999845027924,105.149024963379,1531.61303710938,54.4000015258789,24.3999996185303,-30,12.8000001907349,160,4,659.3125,3.67793083190918,4.89566666666667,59.3989983305509,0,0.219249995099381,0.2995,0.0915541350841522,0,43.5,16,40.5,2265,28577,3.63590002059937,47.6,19,12.5,0.726778060221537,56.1832026398108,0.338151916165903
"295","0-30","Forest",0.6795,623,0.174999907612801,99.291374206543,1580.30847167969,56.1999969482422,25.8999996185303,-30.2999992370605,13.4166660308838,146,6,329.8125,0.491987884044647,4.98066666666667,67.7992041628405,0,0.219249995099381,0.6534,0.183108270168304,0,43.5,16,40.5,2264,28295,3.76300001144409,17.3,10.7,12.5,0.600597725965356,54.0300016015755,0.310437216984874
"296","0-30","Forest",0.6532,630,1.33749997615814,104.160354614258,1537.08276367188,55.1999969482422,26.3999996185303,-28.7999992370605,12.9916667938232,154,5,231,2.10652804374695,5.857,30.4534428064937,3.2,0.231149994833395,0.5359,0.183108270168304,0,37,21,42,1742,28941,4.00159978866577,28.7,14,12.5,0.678752852972751,52.5397833402418,0.35319033594928
"297","0-30","Forest",0.6639,625,1.01249992847443,104.56519317627,1483.59692382812,52.5999984741211,25.3999996185303,-27.2000007629395,12.4083337783813,153,4,360,7.98536682128906,5.53866666666667,60.1405241169768,0,0.1719999961555,0.5266,0.900282263755798,0,40.5,21,38,2056,28071,3.8403000831604,36.7,15.4,12.5,0.716942868736291,55.5959499041591,0.342827864623181
"298","0-30","Forest",0.7648,682,-0.933333337306976,108.301452636719,1451.22888183594,51.0999984741211,22.7000007629395,-28.3999996185303,11.9166669845581,182,3,1019.0625,10.7582931518555,4.31666666666667,44.0336134453782,0,0.192999995686114,0.5355,0.183108270168304,0,35,18,47,1139,27428,3.79159998893738,58.1,20.1,12.5,0.813976665200134,59.0974722383297,0.333188135809188
"299","0-30","Forest",0.8079,704,-1.47500002384186,107.072746276855,1445.59436035156,50.9000015258789,22.2000007629395,-28.7000007629395,11.8666667938232,186,3,1144,11.5455141067505,4.26333333333333,53.861097620204,0,0.192999995686114,0.4118,0.991836428642273,0,35,18,47,1536,28941,4.05170011520386,47.9,18,12.5,0.803212342985107,50.0198677952524,0.31008210011529
"300","0-30","Forest",0.872,737,-2.33750009536743,105.788330078125,1431.02172851562,50.5999984741211,21.2999992370605,-29.2999992370605,11.9416666030884,194,4,1380,7.15350580215454,4.28666666666667,56.4112985165617,0,0.285449993619695,0.4921,0.991836428642273,0,32.5,21,46,1536,28941,4.05170011520386,42.4,18.5,12.5,0.766402198619143,63.7007688133106,0.357053298259618
"301","0-30","Forest",0.693,647,0.574999988079071,106.655364990234,1474.53918457031,51.8000030517578,24.2000007629395,-27.6000003814697,12,170,4,627,9.97717761993408,4.97,32.5124378109453,0,0.219249995099381,0.402,0.183108270168304,0,43.5,16,40.5,1139,27428,3.79159998893738,47.2,17.2,12.5,0.783102105416312,54.3903127560507,0.313524593599555
"302","0-30","Forest",0.7422,675,-0.270833402872086,106.515396118164,1458.05517578125,51.2999992370605,23.2999992370605,-28,11.9416666030884,178,4,857.25,11.1612024307251,4.98333333333333,49.903784477229,0,0.192999995686114,0.3118,0.183108270168304,0,35,18,47,1139,27428,3.79159998893738,45.8,17.1,12.5,0.736338107290367,60.8586573977613,0.340677902435632
