Climatic_zone,Vegetation_type,Sample_size,MAP,Soil_MAT,LAI,Mean_pH,CUEst
Temperate,Mixed forest,3,841,21,2.82,6.635,0.205
Temperate,Mixed forest,3,841,21,2.82,5.75,0.196
Temperate,Mixed forest,3,841,21,2.82,4.915,0.206
Temperate,Mixed forest,3,841,21,2.82,5.065,0.181
Cold,Grasslands,3,806,1.875000024,1.046,7.1,0.182
Cold,Grasslands,3,806,1.875000024,1.046,7.3,0.242
Cold,Grasslands,3,806,1.875000024,1.046,6.1,0.269
Cold,Grasslands,3,806,1.875000024,1.046,4.7,0.207
Cold,Grasslands,3,806,1.875000024,1.046,5.4,0.299
Cold,Grasslands,3,777,2.600000024,2.269,7.13,0.233
Cold,Grasslands,3,777,2.600000024,2.269,5.97,0.278
Cold,Grasslands,3,777,2.600000024,2.269,5.4,0.202
Cold,Grasslands,3,777,2.600000024,2.269,5.13,0.121
Cold,Grasslands,3,777,2.600000024,2.269,4.73,0.083
Cold,Cropland/Natural vegetation mosaic,72,1218,4.649999976,4.292,3.94,0.402
Cold,Mixed forest,3,777,8.999999762,4.202,7.42,0.292
Cold,Mixed forest,3,777,8.999999762,4.202,7.34,0.28
Cold,Mixed forest,3,777,8.999999762,4.202,7.24,0.281
Cold,Mixed forest,3,777,8.999999762,4.202,7.2,0.277
Cold,Mixed forest,3,777,8.999999762,4.202,7.16,0.268
Cold,Mixed forest,3,628,3.974999905,3.795,5.5,0.405
Cold,Mixed forest,3,483,8.149999976,2.239,6.53,0.299
Cold,Mixed forest,3,483,7.825000048,2.239,6.53,0.227
Temperate,Mixed forest,3,1660,9.699999809,3.445,4.21,0.396
Temperate,Mixed forest,3,1747,19.12500048,3.598,4.62,0.327
Temperate,Evergreen Broadleaf forest,3,1542,17.82499981,3.405,4.36,0.283
Cold,Mixed forest,4,527,0.319999999,3.863,6.79,0.518
Cold,Mixed forest,4,644,2.916666667,3.818,6.17,0.366
Cold,Mixed forest,4,686,4.900000016,4.25,6.37,0.416
Cold,Mixed forest,4,482,5.119999981,2.239,6.87,0.331
Cold,Mixed forest,4,571,5.680000019,3.263,6.85,0.353
Cold,Mixed forest,4,1238,8.059999943,3.665,6.93,0.397
Cold,Mixed forest,4,1219,7.100000024,4.772,4.34,0.247
Cold,Grasslands,4,685,3.500000048,2.076,7.05,0.163
Cold,Grasslands,4,685,3.500000048,2.076,7.04,0.183
Cold,Grasslands,4,483,0.799999997,2.983,7.06,0.154
Cold,Grasslands,4,483,0.799999997,2.983,7.06,0.163
Arid,Savannas,3,599,26.57500029,0.919,7.3,0.198
Arid,Savannas,3,599,26.57500029,0.919,6.9,0.241
Arid,Savannas,3,599,26.57500029,0.919,7,0.213
Arid,Savannas,3,599,26.57500029,0.919,6.7,0.262
Arid,Cropland/Natural vegetation mosaic,8,1079,23.67500019,3.244,8,0.217
Arid,Cropland/Natural vegetation mosaic,8,1079,23.67500019,3.244,7.7,0.128
Arid,Cropland/Natural vegetation mosaic,8,1079,23.67500019,3.244,7.6,0.143
Arid,Cropland/Natural vegetation mosaic,8,1079,23.67500019,3.244,7.8,0.213
Tropical,Evergreen Broadleaf forest,3,2177,26.35000038,3.035,4.8,0.298
Tropical,Evergreen Broadleaf forest,3,2177,26.63333384,3.035,4.8,0.249
Tropical,Evergreen Broadleaf forest,3,2545,24.36666616,3.035,4.8,0.361
Tropical,Evergreen Broadleaf forest,3,2392,24.9000001,2.741,4.8,0.357
Tropical,Evergreen Broadleaf forest,3,2327,24.13333321,2.741,4.8,0.381
Tropical,Evergreen Broadleaf forest,3,2285,24.82500029,2.741,4.8,0.319
Tropical,Evergreen Broadleaf forest,3,2450,25.64999962,2.741,4.8,0.28
Tropical,Evergreen Broadleaf forest,3,2177,26.63333384,3.125,3.63,0.197
